name,type,latitude,longitude
BONITA_6_N001,Load Node,36.9679,-120.2
ASHLAN_2_N008,Load Node,36.7926,-119.83
ASHLAN_2_N001,Load Node,33.1365,-117.07
ASHLAN_2_N007,Load Node,33.1365,-117.07
FIGARDN_2_N001,Load Node,36.822,-119.86
FIGARDN_2_N101,Load Node,36.822,-119.86
HELMS1_7_B1,Generation Node,36.5912,-120.18
HELMS2_7_B1,Generation Node,36.5912,-120.18
HELMS3_7_B1,Generation Node,36.5912,-120.18
GREGG_2_B1,Generation Node,36.86,-119.93
BORDEN_2_N007,Load Node,36.9223,-119.98
BORDEN_2_N008,Generation Node,36.9223,-119.98
BORDEN_2_N009,Generation Node,36.9223,-119.98
KERMAN_6_N002,Load Node,36.6921,-120.06
ELLIS_6_N001,Load Node,37.7165,-121.55
ELLIS_6_N003,Generation Node,37.7165,-121.55
ELLIS_6_N105,Load Node,37.7165,-121.55
STOREY2_2_N001,Load Node,36.9828,-120.03
ELLIS_2_B1,Generation Node,33.68,-117.94
HUNT1G_7_B1,Generation Node,33.6461,-117.98
HUNT1G_7_N002,Load Node,33.64,-117.96
HUNT3G_7_B1,Generation Node,33.6461,-117.98
HUNT3G_7_N002,Load Node,33.64,-117.97
HUNT4G_7_B1,Generation Node,33.6461,-117.98
HUNT4G_7_N002,Load Node,33.66,-117.97
HUNT2G_7_B1,Generation Node,33.6461,-117.98
HUNT2G_7_N002,Load Node,33.66,-117.97
BOWLES_6_N001,Load Node,36.6057,-119.77
CARUTHRS_6_N001,Load Node,36.5316,-119.88
JOHANNA_2_N001,Load Node,33.7136,-117.85
JOHANNA_2_N007,Load Node,33.7136,-117.85
JOHANNA_2_N013,Generation Node,33.7136,-117.85
KEARNEY_6_N001,Load Node,36.7044,-119.88
KEARNEY_6_N099,Load Node,36.7044,-119.88
STOREY1_2_N001,Load Node,36.9828,-120.03
STOREY1_2_N003,Generation Node,36.9828,-120.03
ALAMT5G_7_B1,Generation Node,33.7716,-118.1
ALAMT1G_7_B1,Generation Node,33.7716,-118.1
ALAMT5G_7_N002,Load Node,33.7716,-118.1
ALAMT6G_7_B1,Generation Node,33.7716,-118.1
ALAMT6G_7_N002,Load Node,33.7716,-118.1
ALAMT1G_7_N002,Load Node,33.7716,-118.1
ALAMT2G_7_B1,Generation Node,33.7716,-118.1
ALAMT2G_7_N002,Load Node,33.7716,-118.1
ALAMITOS_2_N001,Load Node,33.7716,-118.1
ALAMITOS_2_N040,Load Node,33.77,-118.1
ALAMT4G_7_B1,Generation Node,33.7716,-118.1
ALAMT4G_7_N002,Load Node,33.7716,-118.1
ALAMT3G_7_B1,Generation Node,33.7716,-118.1
ALAMT3G_7_N002,Load Node,33.7716,-118.1
MENDOTA_1_N008,Load Node,36.7208,-120.46
GALLO_1_N001,Load Node,37.3633,-120.76
SANTIAGO_6_N004,Generation Node,33.6651,-117.77
LIVNGSTN_1_N001,Load Node,37.3633,-120.76
RECTOR_6_N001,Load Node,36.2985,-119.24
RECTOR_6_N004,Generation Node,36.2985,-119.24
RECTOR_6_N007,Generation Node,36.2985,-119.24
RECTOR_6_N008,Generation Node,36.2985,-119.24
RECTOR_6_N009,Generation Node,36.2985,-119.24
CRESSEY_1_N001,Load Node,37.4285,-120.64
